objectid,title,tagline,description,url,last_update,created,item_count,featured,status,search_index,categories,type,media_types,location,latitude,longitude,date_start,date_end,notes,featured_image,image_small,image_thumb,image_alt_text,image_source,data_location,repository_location,metadata_location,cdmid
ctrl-shift,CTRL+SHIFT,11 Contemporary Poets on writing through the advent of the personal computer and into the arrival of the digital age,"CTRL+SHIFT is an online collection of audio recordings, transcripts, process visualizations, and data analyses broken out from interviews conducted with 11 prominent contemporary American poets from across the United States. The project examines recent changes in writing practices that occurred due to the advent of the computer and the arrival of the digital age and investigates new modes of working with and publishing data from qualitative interview studies.",https://ctrl-shift.org/,,2017,,,published,false-na,Poetry; Research; Oral History,CDIL,documents; images; videos,"Los Angeles, CA; Cambridge, MA; Irvine, CA; New York, NY; Moscow, ID; Liberty Lake, WA; Ashland, OR; Long Beach, CA; Cambridge, MA; Bellingham, WA; San Diego, CA",,,2013,2018,,https://objects.lib.uidaho.edu/media/mcmichael.jpg,https://objects.lib.uidaho.edu/media/small/mcmichael_sm.jpg,https://objects.lib.uidaho.edu/media/thumbs/mcmichael_th.jpg,a handwritten page of notes with color coded edits,https://ctrl-shift.org/flotsam/photos/mcmichael.html,,https://github.com/ctrlshifty/ctrlshifty.github.io,,
gillespie_dizzy,Dizzy Gillespie Collection,The International Jazz Collections,This collection was assembled by Special Collections and Archives of the University of Idaho Library with materials donated by Mrs. Gillespie. The collection contains fifteen items that belonged to the artist.,https://www.ijc.uidaho.edu/gillespie_dizzy/,2023-12,2008,14,,published,true,IJC; Jazz,International Jazz Collections,memorabilia,,,,1987,2000,,https://objects.lib.uidaho.edu/ijc/gillespie_dizzy/ijc_dizzy_007.jpg,https://objects.lib.uidaho.edu/ijc/gillespie_dizzy/small/ijc_dizzy_007_sm.jpg,https://objects.lib.uidaho.edu/ijc/gillespie_dizzy/thumbs/ijc_dizzy_007_th.jpg,Plaster Mask,https://www.ijc.uidaho.edu/gillespie_dizzy/items/ijc_dizzy_007.html,https://www.ijc.uidaho.edu/gillespie_dizzy/assets/data,https://github.com/uidaholib/ijc-collection-template/tree/gillespie_dizzy,https://raw.githubusercontent.com/uidaholib/ijc-collection-template/refs/heads/gillespie_dizzy/_data/gillespie_dizzy.csv,ijcdg
cheatham,Doc Cheatham Collection,"Music, memories, and photographs of jazz trumpeter Doc Cheatham","Music, memories, and photographs of jazz trumpeter Doc Cheatham",https://www.lib.uidaho.edu/digital/cheatham/,2023-12,2022,63,,published,true,IJC; Jazz,International Jazz Collections,images; documents,,,,1892,1997,ijc,https://objects.lib.uidaho.edu/cheatham/jazzfestf10-001.jpg,https://objects.lib.uidaho.edu/cheatham/small/jazzfestf10-001_sm.jpg,https://objects.lib.uidaho.edu/cheatham/thumbs/jazzfestf10-001_th.jpg,Black and white photo of Doc Cheatham playing trumpet in front of a microphone,https://www.lib.uidaho.edu/digital/cheatham/items/cheatham049.html,https://www.lib.uidaho.edu/digital/cheatham/assets/data,https://github.com/uidaholib/ijc-collection-template/tree/cheatham,https://raw.githubusercontent.com/uidaholib/ijc-collection-template/refs/heads/cheatham/_data/cheatham.csv,
crabtree,Donald E. Crabtree Lithic Technology Collection,"Archive of experimental flintknapping, research, and correspondence","The Crabtree Lithic Technology Collection is a unique representation of Donald Crabtree’s lifelong work with lithic technology, demonstrating Crabtree’s creativity and innovation in flintknapping as well as reflecting the knowledge and practices of Native and Indigenous people from around the world.",https://www.lib.uidaho.edu/digital/crabtree/,2024-09,2024,7543,,published,false-incompatible,Archaeology; Research; Idaho,CDIL,documents; images; 3d models,"Kimberly, ID",42.5334541,-114.3650032,1924,1993,"customized digital scholarship project. 2 sets of metadata, archival objects and artifacts.",https://objects.lib.uidaho.edu/crabtree/CE_CD_D4_1890-a.jpg,https://objects.lib.uidaho.edu/crabtree/small/ce_cd_d4_1890-a_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cd_d4_1890-a_th.jpg,flint knapped projectile point with fancy curves in translucent stone,https://www.lib.uidaho.edu/digital/crabtree/items/ce_cd_d4_1890_model.html,,https://github.com/thecdil/crabtree_source,https://raw.githubusercontent.com/thecdil/crabtree_source/_data/crabtree.csv,
boxing,Donald R. Theophilus Boxing Photograph Collection,"Photographs of University of Idaho Boxers and Boxing Teams, 1934 - 1953",A digital collection comprised of 52 photographs of boxers and boxing teams from the University of Idaho,https://www.lib.uidaho.edu/digital/boxing/,2023-12,2014,52,,published,true,U of I; Idaho; Sports; Campus,,images,"University of Idaho; Sacramento, CA",46.727485,-117.014185,1934,1953,,https://objects.lib.uidaho.edu/boxing/boxing5.jpg,https://objects.lib.uidaho.edu/boxing/small/boxing5_sm.jpg,https://objects.lib.uidaho.edu/boxing/thumbs/boxing5_th.jpg,1947-1948 University of Idaho boxing squad,https://www.lib.uidaho.edu/digital/boxing/items/boxing5.html,https://www.lib.uidaho.edu/digital/boxing/assets/data,https://github.com/uidaholib/campus-collections-template/tree/boxing,https://raw.githubusercontent.com/uidaholib/campus-collections-template/refs/heads/boxing/_data/boxing.csv,boxing
wells,Dr. Richard B. Wells collection,"A collection of Richard B. Wells's work, 1972-2018","These materials span Dr. Richard B. Wells's work from 1972 through 2018, and include notes, notebooks, lab work, written manuscripts and monographs, and professional and personal correspondence. Dr. Wells's research covered electrical engineering and communication technology, neuroscience and cognition, philosophy and metaphysics, and theories of education and politics.",https://www.lib.uidaho.edu/digital/wells/,2025-09,2025,46,,published,true,U of I; Research; Engineering,,documents,University of Idaho,46.72880502,-117.0126084,1972,2018,,https://objects.lib.uidaho.edu/wells/wellscover06.jpg,https://objects.lib.uidaho.edu/wells/small/wellscover06_sm.jpg,https://objects.lib.uidaho.edu/wells/thumbs/wellscover06_th.jpg,A hand drawn diagram and notes on yellow lined notebook paper,https://objects.lib.uidaho.edu/wells/wellscover06.jpg,https://www.lib.uidaho.edu/digital/wells/assets/data,https://github.com/uidaholib/documents-digital-collections-template/tree/wells,https://raw.githubusercontent.com/uidaholib/documents-digital-collections-template/refs/heads/wells/_data/wells.csv,
dworshak,Dworshak Dam Collection,"Documenting the Development and Construction of the Doworshak Dam, 1952 - 1975","Digitized photographs and documents pertaining to the planning, development and construction of the Dworshak Dam, featuring documents and photographs detailing both the legislative and physical development of the dam.",https://www.lib.uidaho.edu/digital/dworshak/,2023-12,2012,501,,published,true,Dams; Construction; Water; Northwest; Idaho; Maps,,documents; images,"Dworshak Dam, ID",46.515697,-116.296881,1952,1973,,https://objects.lib.uidaho.edu/dworshak/dworshak700.jpg,https://objects.lib.uidaho.edu/dworshak/small/dworshak700_sm.jpg,https://objects.lib.uidaho.edu/dworshak/thumbs/dworshak700_th.jpg,Aerial view of clearwater river before construction of Dworshak Dam,https://www.lib.uidaho.edu/digital/dworshak/items/dworshak700.html,https://www.lib.uidaho.edu/digital/dworshak/assets/data,https://github.com/uidaholib/documents-digital-collections-template/tree/dworshak,https://raw.githubusercontent.com/uidaholib/documents-digital-collections-template/refs/heads/dworshak/_data/dworshak.csv,dworshak
stockcerts,Earl Bennett Stock Certificates,Stock certificates from various natural resource companies,"Stock certificates collected by Earl H. Bennett of mining, lumber, and other related industries in the United States.",https://www.lib.uidaho.edu/digital/stockcerts/,2023-12,2023,1103,,published,true,Mining; Stock Certificates,,images,"Wallace, ID",47.47424113,-115.9290973,1812,2013,,https://objects.lib.uidaho.edu/stockcerts/10-101.jpg,https://objects.lib.uidaho.edu/stockcerts/small/10-101_sm.jpg,https://objects.lib.uidaho.edu/stockcerts/thumbs/10-101_th.jpg,stock certificate with gold lettering for Idaho Mines,https://www.lib.uidaho.edu/digital/stockcerts/items/stockcerts1054.html,https://www.lib.uidaho.edu/digital/stockcerts/assets/data,https://github.com/uidaholib/base-digital-collections-template/tree/stockcerts,https://raw.githubusercontent.com/uidaholib/base-digital-collections-template/refs/heads/stockcerts/_data/stockcerts.csv,
iddings,"Edward John Iddings Lantern Slides, 1927",1927 Photographs taken by UI Professor Edward John Iddings on his Travels,"Edward John Iddings was the Dean of the College of Agriculture at UI from 1915 to 1946. These slides depict agricultural and university-related scenes from Idaho, as well as images from Iddings&apos; travels.",https://www.lib.uidaho.edu/digital/iddings/,2023-12,2011,157,,published,true,Research; Agriculture; U of I; Idaho,,images,"University of Idaho; Moscow, ID",46.727874,-117.028127,1927,1927,,https://objects.lib.uidaho.edu/iddings/spec_ji425.jpg,https://objects.lib.uidaho.edu/iddings/small/spec_ji425_sm.jpg,https://objects.lib.uidaho.edu/iddings/thumbs/spec_ji425_th.jpg,Men judging a cow during an exhibition,https://www.lib.uidaho.edu/digital/iddings/items/spec_ji425.html,https://www.lib.uidaho.edu/digital/iddings/assets/data,https://github.com/uidaholib/base-digital-collections-template/tree/iddings,https://raw.githubusercontent.com/uidaholib/base-digital-collections-template/refs/heads/iddings/_data/iddings.csv,spec_ji
ella-fitzgerald,Ella Fitzgerald Collection,"Celebrating Fitzgerald's fashion and style through her clothing, photographs, and album covers","Celebrating Fitzgerald's fashion and style through her clothing, photographs, and album covers",https://www.lib.uidaho.edu/digital/ella-fitzgerald/,2023-12,2021,42,,published,true,U of I; IJC; Jazz,,images; documents,,,,1940,1983,,https://objects.lib.uidaho.edu/ella-fitzgerald/ijcmg004_b005-001a.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/small/ijcmg004_b005-001a_sm.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/thumbs/ijcmg004_b005-001a_th.jpg,Ella Fitzgerald's aquamarine high-heeled shoes,https://www.lib.uidaho.edu/digital/ella-fitzgerald/items/fitzgerald0033.html,https://www.lib.uidaho.edu/digital/ella-fitzgerald/assets/data,https://github.com/uidaholib/ijc-collection-template/tree/ella-fitzgerald,https://raw.githubusercontent.com/uidaholib/ijc-collection-template/refs/heads/ella-fitzgerald/_data/ella-fitzgerald.csv,
ernieday,Ernie Day Photograph Collection,Nature photographs taken by Ernest E. Day,"Photographs taken by Ernie Day depicting just a few of the many mountains and lakes found in Idaho, particularly those found within the Sawtooth National Recreation Area.",https://www.lib.uidaho.edu/digital/ernieday/,2023-12,2021,16,,published,true,Idaho; Wilderness; Photography,,images,Idaho,43.82756523,-114.5895217,1970,1970,,https://objects.lib.uidaho.edu/ernieday/mg459_005.jpg,https://objects.lib.uidaho.edu/ernieday/small/mg459_005_sm.jpg,https://objects.lib.uidaho.edu/ernieday/thumbs/mg459_005_th.jpg,A close up black-and-white photo of Mt. Hyndman in the Pioneer Mountain Range,https://www.lib.uidaho.edu/digital/ernieday/items/ernieday005.html,https://www.lib.uidaho.edu/digital/ernieday/assets/data,https://github.com/uidaholib/base-digital-collections-template/tree/ernieday,https://raw.githubusercontent.com/uidaholib/base-digital-collections-template/refs/heads/ernieday/_data/ernieday.csv,
expforest,Experimental Forest and Savenac Nursery Photo Archive,"Historical photographs of Experimental Forests and Savenac Nursery in Northern Idaho and Northwestern Montana, 1910-1989","The Experimental Forest and Savenac Nursery Photo Archive contains photographs related to or depicting the establishment of two Forest Service Experimental Forests in north Idaho, Priest River and Deception Creek, and the Savenac Nursery in Montana.",https://www.lib.uidaho.edu/digital/expforest/,2023-12,2015,848,,published,true,Forests; Idaho; Northwest; Fire; Research,,images,"Priest River, ID; Deception Creek, ID; Savenac Nursery, MT",48.571027,-116.823399,1910,1989,,https://objects.lib.uidaho.edu/expforest/expforsav652.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav652_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav652_th.jpg,Aerial view of Priest RIiver Experimental Station. A few buildings and path sit in a small clearing encircled by pine trees.,https://www.lib.uidaho.edu/digital/expforest/items/expforsav652.html,https://www.lib.uidaho.edu/digital/expforest/assets/data,https://github.com/uidaholib/base-digital-collections-template/tree/expforest,https://raw.githubusercontent.com/uidaholib/base-digital-collections-template/refs/heads/expforest/_data/expforest.csv,expforsav
familytree,"Family Tree Collection, a Potlatch Forests, Inc. Newsletter","A Potlatch Forests, Inc. Newsletter Published from 1936-1952","The Family Tree was a newsletter published by Potlatch Forests, Inc. for their employees from 1936 - 1952. The newsletter covers local (Potlatch area) and national events, with a special focus on issues pertaining to Potlatch Forests and its loggers and other employees.",https://www.lib.uidaho.edu/digital/familytree/,2023-12,2011,180,,published,true,"Idaho; Forests; Latah County; Potlatch, ID",,documents,"Potlatch, ID",46.921354,-116.903071,1936,1952,,https://objects.lib.uidaho.edu/phs/small/phs1510_sm.jpg,https://objects.lib.uidaho.edu/phs/small/phs1510_sm.jpg,https://objects.lib.uidaho.edu/phs/thumbs/phs1510_th.jpg,"The largest known White Pine tree on a railroad car. The tree was scaled at 29,800 feet. Four men are standing and sitting on and round the log.",https://www.lib.uidaho.edu/digital/phs/items/phs188.html,https://www.lib.uidaho.edu/digital/familytree/assets/data,https://github.com/uidaholib/documents-digital-collections-template/tree/familytree,https://raw.githubusercontent.com/uidaholib/documents-digital-collections-template/refs/heads/familytree/_data/familytree.csv,spec_pot
flora,Flora of Idaho and Washington,"Photographs of plants from Northern Idaho and Washington, 1932-1938","Photographs of plants from Northern Idaho and Washington, 1932-1938.",https://www.lib.uidaho.edu/digital/flora/,2023-12,2023,148,,published,true,U of I; Idaho; Wildlife; Agriculture; Environmental,,images; documents,"University of Idaho; Moscow, ID",46.72748,-117.01396,1932,1938,,https://objects.lib.uidaho.edu/flora/pg129-050.jpg,https://objects.lib.uidaho.edu/flora/small/pg129-050_sm.jpg,https://objects.lib.uidaho.edu/flora/thumbs/pg129-050_th.jpg,An unidentified man stands examining Corn Lily plants.,https://www.lib.uidaho.edu/digital/flora/items/flora050.html,https://www.lib.uidaho.edu/digital/flora/assets/data,https://github.com/uidaholib/base-digital-collections-template/tree/flora,https://raw.githubusercontent.com/uidaholib/base-digital-collections-template/refs/heads/flora/_data/flora.csv,
raney,Franklin Raney Photograph Collection,Photographs taken by University of Idaho student Franklin Raney,"Photograph subjects include the University of Idaho campus, employees and students, and forested areas on Moscow Mountain and the Coeur d'Alene National Forest.",https://www.lib.uidaho.edu/digital/raney/,2023-12,2022,44,,published,true,U of I; Idaho; Forests; Students,Campus Collections,images,"University of Idaho; Moscow, ID",46.72748,-117.01396,1932,1991,,https://objects.lib.uidaho.edu/raney/pg111_1_1-017.jpg,https://objects.lib.uidaho.edu/raney/small/pg111_1_1-017_sm.jpg,https://objects.lib.uidaho.edu/raney/thumbs/pg111_1_1-017_th.jpg,"A wide view of the U of I administration building, taken from behind pine trees.",https://www.lib.uidaho.edu/digital/raney/items/raney17.html,https://www.lib.uidaho.edu/digital/raney/assets/data,https://github.com/uidaholib/base-digital-collections-template/tree/raney,https://raw.githubusercontent.com/uidaholib/base-digital-collections-template/refs/heads/raney/_data/raney.csv,
fridayletter,The Friday Letter Archive,A Collection of the U of I President's Communications,"The Office of the President’s website publishes a variety of official communications including the Friday Letter, Vandal Connection, reports, videos, and presentations. This collection provides access to archived versions harvested annually by the University of Idaho Library.",https://www.lib.uidaho.edu/digital/fridayletter/,,2019,736,,published,false-incompatible,U of I; Campus; Newsletters,Campus Collections,documents; email; web pages,"University of Idaho; Moscow, ID",46.72748,-117.01396,2013,2023,see web archives collection,https://www.lib.uidaho.edu/media/digital/small/fridayletter.jpg,https://www.lib.uidaho.edu/media/digital/small/fridayletter.jpg,https://www.lib.uidaho.edu/media/digital/small/fridayletter.jpg,letter heading saying a letter from the president,,https://www.lib.uidaho.edu/digital/fridayletter/assets/data,https://github.com/uidaholib/fridayletter_source,https://raw.githubusercontent.com/uidaholib/fridayletter_source/_data/fridayletter.csv,
fugue,Fugue Digital Archive,"University of Idaho's Journal of Poetry, Prose, and Art",Fugue is the official literary journal of the University of Idaho&apos;s English Department.,https://www.lib.uidaho.edu/digital/fugue/,2023-12,2014,57,,published,true,Research; U of I,,documents; images,"University of Idaho; Moscow, ID",46.728091,-117.012692,1990,2022,,https://objects.lib.uidaho.edu/fugue/small/fugue-2010-n39_sm.jpg,https://objects.lib.uidaho.edu/fugue/small/fugue-2010-n39_sm.jpg,https://objects.lib.uidaho.edu/fugue/thumbs/fugue-2010-n39_th.jpg,A cover of Fugue magazine featuring an owl,https://www.lib.uidaho.edu/digital/fugue/items/fugue-2010-n39.html,https://www.lib.uidaho.edu/digital/fugue/assets/data,https://github.com/uidaholib/documents-digital-collections-template/tree/fugue,https://raw.githubusercontent.com/uidaholib/documents-digital-collections-template/refs/heads/fugue/_data/fugue.csv,fugue
gem,Gem of the Mountains Digital Yearbook Collection,Digital Yearbook Collection,The Gem of the Mountains was the official yearbook of the University of Idaho from 1903 to 2004.,https://www.lib.uidaho.edu/digital/gem/,2023-12,2012,103,,published,true,U of I; Campus,Campus Collections,documents; images,"University of Idaho; Moscow, ID",46.727332,-117.012296,1903,2004,highly customized,https://objects.lib.uidaho.edu/gem/small/uidaho_gem_1963_sm.jpg,https://objects.lib.uidaho.edu/gem/small/uidaho_gem_1963_sm.jpg,https://objects.lib.uidaho.edu/gem/thumbs/uidaho_gem_1963_th.jpg,Cover of 1963 Gem of the Mountains yearbook in green with fancy gold lettering,https://www.lib.uidaho.edu/digital/gem/items/uidaho_gem_1963.html,https://www.lib.uidaho.edu/digital/gem/assets/data,https://github.com/uidaholib/campus-collections-template/tree/gem,https://raw.githubusercontent.com/uidaholib/campus-collections-template/refs/heads/gem/_data/gem.csv,gem
gemphotos,Gem of the Mountains Yearbook Photographic Archive,Black and white negatives from the Gem of the Mountains Yearbook Photograph Collection,Black and white negatives from the Gem of the Mountains Yearbook Photograph Collection.,https://www.lib.uidaho.edu/digital/gemphotos/,2023-12,2020,1111,,published,true,U of I; Campus; Photographs,Campus Collections,images,"University of Idaho; Moscow, ID",46.727332,-117.012296,1947,1975,,https://objects.lib.uidaho.edu/gemphotos/pg101-172.jpg,https://objects.lib.uidaho.edu/gemphotos/small/pg101-172_sm.jpg,https://objects.lib.uidaho.edu/gemphotos/thumbs/pg101-172_th.jpg,"A photograph of the Student Union Building, covered in ivy. Two people can be seen in the foreground getting a drink of water.",https://www.lib.uidaho.edu/digital/gemphotos/items/gemphotos0060.html,https://www.lib.uidaho.edu/digital/gemphotos/assets/data,https://github.com/uidaholib/campus-collections-template/tree/gemphotos,https://raw.githubusercontent.com/uidaholib/campus-collections-template/refs/heads/gemphotos/_data/gemphotos.csv,
genesee-news,The Genesee News,"A Microfilm Archive Spanning July 17, 1888 to August 6, 1968","A collection of the The Genesee News and predecessor newspapers, the Recorder and Advertiser, covering 80 years from the arrival of the railroad and the beginning of New Genesee, Idaho in 1888 to 1968 when the News was merged with the Kendrick Gazette.",https://www.lib.uidaho.edu/digital/genesee-news/,2023-12,2023,84,,published,true,Idaho; Politics,Community,documents,"Genesee, ID",46.5507,-116.9254,1888,1968,,https://objects.lib.uidaho.edu/genesee-news/genesee_feature.jpg,https://objects.lib.uidaho.edu/cities/small/cities929_sm.jpg,https://objects.lib.uidaho.edu/cities/thumbs/cities929_th.jpg,"Genesee grain elevator and warehouse. Genesee, ID, 1949",https://www.lib.uidaho.edu/digital/cities/items/cities929.html,https://www.lib.uidaho.edu/digital/genesee-news/assets/data,https://github.com/uidaholib/documents-digital-collections-template/tree/genessee-news,https://raw.githubusercontent.com/uidaholib/documents-digital-collections-template/refs/heads/genessee-news/_data/genesee-news.csv,
tabor,George W. Tabor Photographs,"Film negatives and print photographs of Wallace, Idaho, spanning the 20th century","Film negatives and print photographs of Wallace, Idaho, spanning the 20th century",https://www.lib.uidaho.edu/digital/tabor/,2023-12,2022,3148,,published,true,Idaho; Mining; Northwest; Water,,images; documents,"Wallace, ID",47.47300544,-115.9214386,1903,2004,,https://objects.lib.uidaho.edu/tabor/pg83-b03-f29-004_008.jpg,https://objects.lib.uidaho.edu/tabor/small/pg83-b03-f29-004_008_sm.jpg,https://objects.lib.uidaho.edu/tabor/thumbs/pg83-b03-f29-004_008_th.jpg,Children and people with strollers during B.P.O.E. parade,https://www.lib.uidaho.edu/digital/tabor/items/tabor2841.html,https://www.lib.uidaho.edu/digital/tabor/assets/data,https://github.com/uidaholib/base-digital-collections-template/tree/tabor,https://raw.githubusercontent.com/uidaholib/base-digital-collections-template/refs/heads/tabor/_data/tabor.csv,
guidedreading,Guided Reading Library,"Guided reading material from the College of Education, curated by Margaret Vaughn","The Guided Reading Library is a digital collection of short books created by students in the University of Idaho&apos;s College of Education. This library is directed by Margaret Vaughn, in collaboration with the Digital Inititiaves department of the University of Idaho Library.",https://www.lib.uidaho.edu/digital/guidedreading/,2023-12,2014,102,,published,false-na,U of I; Education,,documents; audio,"University of Idaho; Moscow, ID",46.725896,-117.012357,2013,2018,"pdf objects need to stay on main web server, in /digital/guidedreading/ (not libobjects) due to CORS issue with pdf.js",https://objects.lib.uidaho.edu/guidedreading/Art_Books_on_Library_Shelf.jpg,https://objects.lib.uidaho.edu/guidedreading/small/art_books_on_library_shelf_sm.jpg,https://objects.lib.uidaho.edu/guidedreading/thumbs/art_books_on_library_shelf_th.jpg,"A photo of art books on a library shelf,",,,https://github.com/uidaholib/documents-digital-collections-template/tree/guidedreading,https://raw.githubusercontent.com/uidaholib/documents-digital-collections-template/refs/heads/guidedreading/_data/guidedreading.csv,guidedread
riegger,"Hal Riegger Papers, 1981-1986",Materials used in the writing of The Camas Prairie - Idaho's Railroad on Stilts,Materials used in the writing of The Camas Prairie - Idaho's Railroad on Stilts,https://www.lib.uidaho.edu/digital/riegger/,2023-12,2021,506,,published,true,Idaho; Railroads,,documents; images; audio,Idaho,,,1878,1985,,https://objects.lib.uidaho.edu/riegger/riegger126.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger126_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger126_th.jpg,A photograph of train engine #1506 coming up from the engine terminal in preparation for carrying local freight to Grangeville.,https://www.lib.uidaho.edu/digital/riegger/items/riegger126.html,https://www.lib.uidaho.edu/digital/riegger/assets/data,https://github.com/uidaholib/base-digital-collections-template/tree/riegger,https://raw.githubusercontent.com/uidaholib/base-digital-collections-template/refs/heads/riegger/_data/riegger.csv,riegger
marsh,Harry Webb Marsh Collection,Historic Mining Films from Idaho's Silver Valley Mining District,"A collection of historic mining films from Idaho's Silver Valley Mining District and elsewhere, originally filmed by Harry Webb Marsh.",https://www.lib.uidaho.edu/digital/marsh/,2023-12,2011,6,,published,true,Idaho; Mining,,videos,Idaho,47.53844844,-116.1187132,1926,1950,,https://objects.lib.uidaho.edu/marsh/marsh_featured.jpg,https://objects.lib.uidaho.edu/barstock/small/barstock256_sm.jpg,https://objects.lib.uidaho.edu/barstock/thumbs/barstock256_th.jpg,"Bunker Hill, Glory Hole, Kellogg, Idaho",https://www.lib.uidaho.edu/digital/barstock/items/barstock256.html,https://www.lib.uidaho.edu/digital/marsh/assets/data,https://github.com/uidaholib/base-digital-collections-template/tree/marsh,https://raw.githubusercontent.com/uidaholib/base-digital-collections-template/refs/heads/marsh/_data/marsh.csv,
hwhi,Here We Have Idaho Archive,A collection of the University of Idaho's official magazine,"This collection provides access to a digital archive of past issues of Here We Have Idaho, the long standing official magazine of the University of Idaho which features stories that highlight the research, learning, and outreach of U of I students, employees, and alumni.",https://www.lib.uidaho.edu/digital/hwhi/,2023-12,2021,56,,published,true,U of I; Idaho; Research; Education,,documents,"University of Idaho; Moscow, ID",46.72756,-117.01404,1998,2020,,https://www.lib.uidaho.edu/media/digital/small/hwhi.jpg,https://objects.lib.uidaho.edu/hwhi/small/hwhi_2016_spring_sm.jpg,https://objects.lib.uidaho.edu/hwhi/thumbs/hwhi_2016_spring_th.jpg,Here We Have Idaho Spring 2016 Issue cover,https://www.lib.uidaho.edu/digital/hwhi/items/hwhi_2016_spring.html,https://www.lib.uidaho.edu/digital/hwhi/assets/data,https://github.com/uidaholib/campus-collections-template/tree/hwhi,https://raw.githubusercontent.com/uidaholib/campus-collections-template/refs/heads/hwhi/_data/hwhi.csv,hwhi
hohp,Hispanic Oral History Project Interviews,Hispanic immigrants and their descendants tell their stories of living and working in Idaho,"The Idaho Hispanic Oral History Project interviewed Hispanic immigrants and their descendants living in Idaho in 1991. This collection provides access to the interviews, related materials, and the resulting book, Voces Hispanas: Hispanic Voices of Idaho.",https://www.lib.uidaho.edu/digital/hohp/,2023-12,2024,24,,published,true,Idaho; Oral History; Hispanic Americans,,documents; audio; images,Idaho,46.826007,-116.613768,1989,1992,contains offensive language statement in about,https://objects.lib.uidaho.edu/hohp/antonio-hernandez-rodriguez-group-portrait.jpg,https://objects.lib.uidaho.edu/hohp/small/antonio-hernandez-rodriguez-group-portrait_sm.jpg,https://objects.lib.uidaho.edu/hohp/thumbs/antonio-hernandez-rodriguez-group-portrait_th.jpg,Antonio Hernandez Rodriguez group portrait,https://www.lib.uidaho.edu/digital/hohp/items/hohp024.html#hohp025,https://www.lib.uidaho.edu/digital/hohp/assets/data,https://github.com/uidaholib/oral-history-collections-template/tree/hohp,https://raw.githubusercontent.com/uidaholib/oral-history-collections-template/refs/heads/hohp/_data/hohp.csv,
hjccc,Historical Japanese Ceramic Comparative Collection (HJCCC),Japanese ceramics from archaeological sites in the American West,"The Historical Japanese Ceramic Comparative Collection (HJCCC) provides researchers with comparative examples of Japanese ceramics that are found on North American archaeological sites. The HJCCC contains digital photographs and resources for identifying and describing Japanese ceramics manufactured during the Meiji, Taisho, and early Showa eras (roughly the mid-nineteenth and early twentieth centuries). It is intended to assist in identification of historical Japanese ceramics, to encourage the use of standardized terminology, and to promote further research.",https://www.lib.uidaho.edu/digital/hjccc/,2019-11,2019,80,,published,false-incompatible,Archaeology; Northwest; Research,CDIL,images,Pacific Northwest,,,2018,2019,highly customized scholarship project,https://www.lib.uidaho.edu/digital/hjccc/objects/aacc-bowls-4-center-crop4.jpg,https://www.lib.uidaho.edu/digital/hjccc/objects/aacc-bowls-4-center-crop4_sm.jpg,https://www.lib.uidaho.edu/digital/hjccc/objects/aacc-bowls-4-center-crop4_th.jpg,Blue and white ceramic rice bowls,,,https://github.com/uidaholib/HJCCC_source,https://raw.githubusercontent.com/uidaholib/HJCCC_source/_data/hjccc.csv,
theatre,History of Theatre at the U of I,Photographs from play production at the U of I,"Play production of the U of I Moscow campus was originally student body efforts and/or shows produced by the English Department. The first known production was ""The Rivals"" in 1900 directed by elocution instructor, Aurelia Henry Reinhardt. In 1954, department Head Jean Collette and faculty member Ed Chavez start UI Summer Theatre.",https://www.lib.uidaho.edu/digital/theatre/,2023-12,2023,45,,published,true,U of I; Theatre; Campus; Photographs,Campus Collections,images,"University of Idaho; Moscow, ID",46.72756,-117.01404,1919,2019,,https://objects.lib.uidaho.edu/theatre/theatre-tartuffe.jpg,https://objects.lib.uidaho.edu/theatre/small/theatre-tartuffe_sm.jpg,https://objects.lib.uidaho.edu/theatre/thumbs/theatre-tartuffe_th.jpg,Two students perform in the 1967 drama production of Tartuffe,https://www.lib.uidaho.edu/digital/theatre/items/theatre001.html,https://www.lib.uidaho.edu/digital/theatre/assets/data,https://github.com/uidaholib/campus-collections-template/tree/theatre,https://raw.githubusercontent.com/uidaholib/campus-collections-template/refs/heads/theatre/_data/theatre.csv,
